epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.244,0.69975,0.32052,0.84202,0.96618,0.9373,0.9758,0.68973,1.02371,0.49337,0.91386,0.000663978,0.000663978,0.000663978
2,345.831,0.71139,0.33662,0.84188,0.96736,0.93901,0.97325,0.64679,1.11546,0.58487,0.94554,0.00126478,0.00126478,0.00126478
3,516.102,0.72064,0.34267,0.84297,0.97193,0.93819,0.97448,0.63521,1.1515,0.54649,0.96572,0.00179958,0.00179958,0.00179958
4,686.898,0.72046,0.33521,0.84576,0.97277,0.94406,0.97795,0.69396,0.98813,0.48203,0.91061,0.001703,0.001703,0.001703
5,857.591,0.69851,0.32659,0.83882,0.97071,0.94066,0.97603,0.6851,1.03119,0.49628,0.92354,0.001604,0.001604,0.001604
6,1028.05,0.70011,0.32599,0.84113,0.9757,0.94756,0.97815,0.6917,1.01621,0.46674,0.91126,0.001505,0.001505,0.001505
7,1198.55,0.68906,0.31717,0.83803,0.97282,0.94351,0.97756,0.68126,1.04345,0.47788,0.92868,0.001406,0.001406,0.001406
8,1368.68,0.67759,0.31302,0.83656,0.96717,0.93918,0.97492,0.65761,1.12684,0.49738,0.94693,0.001307,0.001307,0.001307
9,1538.91,0.6781,0.30846,0.83588,0.9702,0.94004,0.97513,0.67503,1.02585,0.5019,0.91822,0.001208,0.001208,0.001208
10,1709.17,0.66839,0.30291,0.8341,0.97045,0.9418,0.9766,0.68962,1.04496,0.48488,0.91852,0.001109,0.001109,0.001109
11,1900.09,0.66512,0.29557,0.83508,0.96841,0.93727,0.97485,0.65934,1.10096,0.50069,0.93934,0.00101,0.00101,0.00101
12,2068.61,0.65364,0.29174,0.8335,0.96965,0.93345,0.96808,0.67924,1.03875,0.49236,0.9193,0.000911,0.000911,0.000911
13,2237.23,0.65336,0.29129,0.83484,0.97387,0.94528,0.97709,0.70503,0.97585,0.46481,0.90322,0.000812,0.000812,0.000812
14,2406.27,0.65913,0.28802,0.83438,0.97,0.9337,0.97537,0.69041,1.02545,0.48108,0.91905,0.000713,0.000713,0.000713
15,2574.71,0.64938,0.28453,0.8332,0.98017,0.94499,0.97096,0.67659,1.06342,0.46604,0.92798,0.000614,0.000614,0.000614
16,2743.18,0.63924,0.27894,0.8342,0.97513,0.93562,0.96981,0.70059,0.99096,0.45124,0.90709,0.000515,0.000515,0.000515
17,2911.69,0.6298,0.27049,0.82945,0.97083,0.93963,0.97687,0.70228,0.97033,0.44357,0.90299,0.000416,0.000416,0.000416
18,3080.23,0.62549,0.26616,0.82748,0.97378,0.94613,0.97809,0.68186,1.05384,0.4618,0.93207,0.000317,0.000317,0.000317
19,3248.8,0.61839,0.25994,0.82708,0.97288,0.94551,0.97769,0.68707,1.0366,0.45745,0.92358,0.000218,0.000218,0.000218
20,3417.79,0.60906,0.25378,0.82429,0.97667,0.94465,0.97104,0.68946,1.00909,0.44365,0.91979,0.000119,0.000119,0.000119
